member_casual,route,number_of_rides,average_duration_minutes
casual,Streeter Dr & Grand Ave To Streeter Dr & Grand Ave,11592,2821.0354554865535
casual,Michigan Ave & Oak St To Michigan Ave & Oak St,5427,3120.6998341625167
casual,Millennium Park To Millennium Park,5099,2771.9760737399565
casual,DuSable Lake Shore Dr & Monroe St To DuSable Lake Shore Dr & Monroe St,4922,2434.7271434376303
casual,DuSable Lake Shore Dr & Monroe St To Streeter Dr & Grand Ave,4000,1783.9117500000004
casual,Streeter Dr & Grand Ave To Millennium Park,3451,2114.347145754853
casual,Millennium Park To Streeter Dr & Grand Ave,3049,3075.200065595273
casual,Shedd Aquarium To Streeter Dr & Grand Ave,2922,2175.9657768651605
casual,Theater on the Lake To Theater on the Lake,2857,2846.681834091708
casual,Montrose Harbor To Montrose Harbor,2839,3471.2014793941457
