member_casual,route,number_of_rides,average_duration_minutes
member,Ellis Ave & 60th St To University Ave & 57th St,5482,330.3141189346957
member,Ellis Ave & 60th St To Ellis Ave & 55th St,5251,351.087221481624
member,University Ave & 57th St To Ellis Ave & 60th St,5243,299.0808697310693
member,Ellis Ave & 55th St To Ellis Ave & 60th St,4629,348.8111903218841
member,Calumet Ave & 33rd St To State St & 33rd St,2328,244.43513745704442
member,State St & 33rd St To Calumet Ave & 33rd St,2220,297.54639639639595
member,Loomis St & Lexington St To Morgan St & Polk St,2202,321.231153496821
member,Morgan St & Polk St To Loomis St & Lexington St,2054,364.4021421616362
member,Ellis Ave & 60th St To Ellis Ave & 58th St,1738,222.77272727272683
member,Loomis St & Lexington St To Halsted St & Polk St,1634,448.02509179926557
